,Player,Assists,xG
0,Lionel Messi,Ángel Di María,0.06
1,Lionel Messi (pen),Leandro Paredes,0.79
2,Papu Gómez,Leandro Paredes,0.02
3,Lautaro Martínez,Lionel Messi,0.08
4,Rodrigo De Paul,Lautaro Martínez,0.08
5,Nicolás Tagliafico,Lisandro Martínez,0.72
6,Lisandro Martínez,Nicolás Otamendi,0.12
7,Lautaro Martínez,Lionel Messi,0.03
8,Ángel Di María,Lionel Messi,0.07
9,Ángel Di María,Nahuel Molina,0.01
10,Enzo Fernández,Marcos Acuña,0.02
11,Lionel Messi,Lionel Messi,0.05
12,Lionel Messi,Ángel Di María,0.14
13,Nicolás Otamendi,Marcos Acuña,0.03
14,Julián Álvarez,Ángel Di María,0.04
15,César Montes,Luis Chávez,0.18
16,Lautaro Martínez,Ángel Di María,0.08
17,Alexis Vega,Erick Gutiérrez,0.04
19,Hirving Lozano,Héctor Moreno,0.02
20,Lionel Messi,Lionel Messi,0.09
21,Lionel Messi,Ángel Di María,0.02
22,Nahuel Molina,Marcos Acuña,0.08
23,Enzo Fernández,Enzo Fernández,0.04
24,Lionel Messi,Lionel Messi,0.04
25,Ángel Di María,Lionel Messi,0.03
26,Lionel Messi,Ángel Di María,0.04
27,Marcos Acuña,Lionel Messi,0.04
28,Julián Álvarez,Nahuel Molina,0.13
29,Marcos Acuña,Julián Álvarez,0.05
30,Enzo Fernández,Lionel Messi,0.03
31,Julián Álvarez,Alexis Mac Allister,0.24
32,Lionel Messi (pen),Lionel Messi,0.79
33,Julián Álvarez,Alexis Mac Allister,0.04
34,Rodrigo De Paul,Julián Álvarez,0.56
35,Ángel Di María,Rodrigo De Paul,0.03
36,Alexis Mac Allister,Nahuel Molina,0.17
37,Lionel Messi,Alexis Mac Allister,0.03
38,Lionel Messi,Ángel Di María,0.05
39,Julián Álvarez,Lionel Messi,0.18
40,Alexis Mac Allister,Nicolás Tagliafico,0.16
41,Lionel Messi,Lionel Messi,0.05
42,Julián Álvarez,Enzo Fernández,0.13
43,Lionel Messi,Enzo Fernández,0.22
44,Julián Álvarez,Lionel Messi,0.23
46,Nicolás Tagliafico,Thiago Almada,0.25
47,Papu Gómez,Lionel Messi,0.02
48,Lionel Messi,Alexis Mac Allister,0.04
49,Lionel Messi,Alexis Mac Allister,0.04
51,Lionel Messi,Rodrigo De Paul,0.03
52,Nicolás Tagliafico,Lautaro Martínez,0.04
53,Lautaro Martínez,Rodrigo De Paul,0.05
54,Lautaro Martínez,Lionel Messi,0.35
55,Lautaro Martínez,Lionel Messi,0.07
56,Lionel Messi,Rodrigo De Paul,0.05
57,Exequiel Palacios,Rodrigo De Paul,0.07
